FID,osm_id,amenity,name,operator,ref-FR-GendarmerieNationale,official_name,police-FR,seasonal,emergency,military,office,phone,contact-phone,emergency_phone,fax,contact-fax,email,contact-email,opening_hours,wheelchair,short_name,alt_name,old_name,operator-type,website,contact-website,url,addr-housename,addr-housenumber,addr-street,addr-city,addr-postcode,addr-full,wikidata,wikipedia,description,source,note,osm_version,osm_timestamp,the_geom,osm_original_geom,osm_type
police_point.-2793185,-2793185,police,Gendarmerie Kommando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2013-08-30T07:12:36Z,POINT (2577803.055332846 1186273.601371523),"SRID=3857;POLYGON((795642.4349392498 5913898.72784131,795651.6633250365 5913892.447635023,795665.3778863023 5913868.482018798,795721.1155553424 5913946.252553725,795718.0876651929 5913948.806953316,795707.2451467896 5913956.8931786055,795691.0481608792 5913967.794138006,795675.5190919136 5913946.138663312,795679.226030957 5913943.486644178,795677.2000162244 5913940.655655314,795676.3539880944 5913941.143756775,795675.3855085245 5913941.355267418,795674.2945775149 5913941.338997368,795673.1145909124 5913940.948516187,795671.93460431 5913939.45167182,795671.6451736339 5913938.44292902,795671.8455487173 5913937.28775596,795672.5023337131 5913936.100042972,795673.2593062504 5913935.286541017,795671.2221595688 5913932.309124512,795667.1589981549 5913935.0750305215,795642.4349392498 5913898.72784131),(795669.5301033088 5913916.201806883,795677.0886967337 5913927.070175524,795682.0980738194 5913923.572121268,795674.5394803946 5913912.720026974,795669.5301033088 5913916.201806883),(795686.4729298076 5913939.354051545,795694.0315232323 5913950.222448954,795699.0409003182 5913946.724385441,795691.4823068932 5913935.8722624155,795686.4729298076 5913939.354051545))",rel
police_point.-330978,-330978,police,Hôtel de police,,,,,,,,,+41 21 315 15 15,,,,,police@lausanne.ch,,24/7,yes,,,,,https://www.lausanne.ch/police,,,,33,Rue Saint-Martin,Lausanne,1005,,,,,Orthophotos Ville de Lausanne 2008,,7,2025-05-05T19:47:11Z,POINT (2538477.214027571 1152954.7581991034),"SRID=3857;POLYGON((738766.1122235806 5864912.320872558,738767.9823910259 5864884.68664182,738772.7023374354 5864868.588286327,738779.9158404388 5864851.535387137,738782.9103347412 5864844.465077161,738797.8828062529 5864848.784922627,738802.246530292 5864848.898177031,738805.6529067103 5864848.979073035,738805.753094252 5864846.082996563,738820.8146213563 5864845.613799904,738821.1597117778 5864844.3032852365,738835.4531343958 5864840.80858041,738847.9765771099 5864888.472591012,738846.607347373 5864913.874087173,738842.2992830795 5864918.3072220525,738829.7869723142 5864931.18597694,738820.7144338146 5864930.975645362,738820.4917948331 5864934.340951177,738815.2486468167 5864935.700017353,738809.7828598188 5864936.444267964,738803.8717948577 5864936.298653711,738798.0275215909 5864935.24699527,738793.5302141629 5864933.7423149515,738789.1219623275 5864932.092020706,738789.188754022 5864929.179737498,738779.3815068831 5864928.872329884,738766.1122235806 5864912.320872558),(738783.6339114314 5864893.455808673,738791.0811853654 5864893.908828599,738791.849289852 5864884.298339427,738792.4058873059 5864880.366778705,738793.7194572972 5864877.179465337,738795.5896247425 5864874.186304088,738798.6843065867 5864870.998992958,738802.51369707 5864869.138380399,738806.8217613637 5864867.827862222,738811.6864231112 5864867.9087584,738815.5269455436 5864868.750078697,738819.4565235687 5864870.998992958,738822.451017871 5864873.442058747,738824.5104284507 5864876.241068728,738826.4807834377 5864880.916873517,738826.948325299 5864885.139661293,738826.6588946229 5864896.465155774,738835.1859676177 5864897.112327325,738836.210106933 5864883.829140732,738829.47527774 5864859.204333911,738792.3168317132 5864859.867681943,738784.7359743902 5864877.648663678,738783.9901338018 5864881.386072059,738783.6339114314 5864893.455808673))",rel
police_point.27374082,27374082,police,Polizeikommando Aargau,Kantonspolizei,,,,,,,,+41 62 835 81 81,,,+41 62 835 82 96,,,,,,,,,,https://www.ag.ch/kantonspolizei/,,,Polizeikommando,85,Tellistrasse,Aarau,5004,,,,,,,9,2025-02-22T02:30:21Z,POINT (2646968.8125700876 1249939.476168955),"SRID=3857;POLYGON((897257.3819558418 6007404.265374349,897264.3171601183 6007370.76559304,897284.2656128684 6007374.893443241,897294.8075686465 6007324.043728464,897315.9471399483 6007328.418239415,897314.3997990261 6007335.884515086,897342.741741382 6007341.755577784,897341.7955257103 6007346.310998923,897371.0725517889 6007352.379415637,897370.0929402701 6007357.11574383,897387.5144405791 6007360.717328463,897376.3936234488 6007414.39591791,897360.5639918582 6007411.106779092,897358.5602410238 6007420.809742201,897355.2985799435 6007420.135468142,897353.7846348688 6007427.4373656195,897276.5734360546 6007411.4356929185,897277.2079571522 6007408.360349135,897257.3819558418 6007404.265374349))",way
police_point.28328346,28328346,police,Kantonspolizei und Grenzwache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2025-09-21T18:59:43Z,POINT (2656333.159198652 1257803.8471663145),"SRID=3857;POLYGON((911225.8741120216 6018925.889386879,911234.0338306967 6018887.305951034,911235.4364562808 6018880.669551534,911236.0375815311 6018878.051221616,911237.0283249991 6018878.265298877,911239.243582866 6018867.841389259,911246.9246277307 6018869.471668132,911246.7242526471 6018870.410313684,911251.7892894783 6018871.480699088,911252.0341923581 6018870.3279763535,911259.2699592595 6018871.859450879,911257.076965291 6018882.266897847,911258.3905352823 6018882.546845171,911248.2938574675 6018930.599113834,911225.8741120216 6018925.889386879))",way
police_point.29456226,29456226,police,Polizeiposten Winterthur Ost,Kantonspolizei Zürich,,,,,,,,+41 52 268 52 22,,,,,,,,,,Kapo,,,,,,,24,Hermann-Götz-Strasse,Winterthur,8400,,,,,,,8,2022-02-19T01:18:22Z,POINT (2697308.907057061 1262346.735886841),,node
police_point.29709437,29709437,police,Wache Wasserschutzpolizei,Stadtpolizei Zürich,,,,,,,,,,,,,,,24/7,,,,,,,,,,73,Mythenquai,Zürich,8002,,,,Städtische Seepolizei und Gewässerschutz,,,18,2025-05-27T16:00:07Z,POINT (2682919.520584985 1245755.3020129458),"SRID=3857;POLYGON((950206.8762379311 6000598.476887781,950278.0093925481 6000592.5117942095,950281.1931299845 6000630.48798345,950247.6080396123 6000633.3144308375,950246.8176712277 6000623.914853546,950209.2696069832 6000627.0535224555,950206.8762379311 6000598.476887781))",way
police_point.29885122,29885122,police,Polizeistation Neuhausen am Rheinfall,Schaffhauser Polizei,,,,,,,,+41 52 632 89 20,,,+41 52 632 89 39,,,,"Mo 07:00-11:30,13:45-17:00; Tu,We,Fr 13:45-17:00; Th 13:45-18:00",no,,,,,,,,,26,Rheingoldstrasse,Neuhausen am Rheinfall,8212,,,,,,,7,2025-09-12T16:06:27Z,POINT (2688838.2412253534 1281796.202306204),,node
police_point.30248410,30248410,police,Polizeiposten Gemeindepolizei Meilen,Stadt Meilen,,,,,,,,+41 44 925 51 17,,,,,,,,,,KomPol Meilen,,,,,,,42,Stelzenstrasse,Meilen,8706,,,,,,,11,2022-07-07T10:27:01Z,POINT (2691416.830775616 1236102.9698422742),"SRID=3857;POLYGON((962529.2648198527 5986171.711167916,962557.95185263 5986158.570395781,962560.61238846 5986164.345114669,962556.5158311987 5986166.231742411,962562.3489725164 5986178.962389018,962537.747365051 5986190.232964153,962529.2648198527 5986171.711167916))",way
police_point.31973838,31973838,police,Polizeiposten Verkehrsstützpunkt Neubüel,Kantonspolizei Zürich,,,,,,,,+41 43 833 17 00,,,,,,,24/7,,,Kapo,,,,,,,224,Zugerstrasse,Wädenswil,8820,,,,,,,7,2025-04-24T06:44:28Z,POINT (2690269.6739843083 1231716.0680883469),"SRID=3857;POLYGON((960740.7613529718 5979716.474533533,960776.0718954513 5979710.949998987,960781.3039115185 5979744.343158979,960745.9933690388 5979749.86771476,960740.7613529718 5979716.474533533))",way
police_point.34015111,34015111,police,Polizeistation Uznach,Kantonspolizei St. Gallen,,,,,,,,+41 58 229 77 11,,,,,,,,,,,,,www.kapo.zh.ch,,,,3,Grynaustrasse,Uznach,8730,,,,,,,5,2022-12-15T09:59:43Z,POINT (2717018.128112015 1231485.68640622),,node
